35009, Finished Airing, LIDENFILMS, Estudio-nao-listado, Manga, Action, Adventure, Demons, 24-min., R---17+-(violence-&amp;-profanity), 1, 6.13
35015, Finished Airing, bilibili, Estudio-nao-listado, Web-manga, Comedy, School, Slice of Life, 3-min.-per-ep., PG---Children, 12, 7.46
35029, Finished Airing, PoRO, Estudio-nao-listado, Light-novel, Harem, Hentai, Supernatural, 20-min.-per-ep., Rx---Hentai, 4, 6.67
35062, Finished Airing, Production-I.G, Production-I.G, Manga, Slice of Life, Magic, Fantasy, 24-min.-per-ep., PG-13---Teens-13-or-older, 24, 8.18
35063, Finished Airing, Aniplex, Aniplex, Original, Action, Adventure, Magic, 1-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.70
35073, Finished Airing, AT-X, Madhouse-Inc., Light-novel, Action, Game, Adventure, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 13, 7.91
35075, Finished Airing, Kodansha, Studio-Deen, Manga, Comedy, Demons, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.92
35078, Finished Airing, Frontier-Works, Estudio-nao-listado, Manga, Slice of Life, Comedy, Shounen, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.48
35079, Finished Airing, Movic, Funimation, Light-novel, Action, Adventure, Slice of Life, 23-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.62
35081, Finished Airing, Bandai-Namco-Entertainment, A-1-Pictures, Game, Comedy, Music, Slice of Life, 9-min., PG-13---Teens-13-or-older, 1, 6.64
35082, Finished Airing, Lantis, Kyoto-Animation, Novel, Drama, Music, School, 1-hr.-55-min., PG-13---Teens-13-or-older, 1, 7.69
35120, Finished Airing, Aniplex, Aniplex, Manga, Action, Dementia, Demons, 25-min.-per-ep., R+---Mild-Nudity, 10, 7.94
35122, Finished Airing, Kodansha, Estudio-nao-listado, Manga, Action, Fantasy, Shounen, 7-min., PG-13---Teens-13-or-older, 1, 6.48
35134, Finished Airing, Bandai-Visual, Bones, Original, Adventure, Drama, Mecha, 1-hr.-32-min., PG-13---Teens-13-or-older, 1, 6.42
35135, Finished Airing, Mainichi-Broadcasting-System, Bones, Original, Adventure, Drama, Mecha, 1-hr.-30-min., PG-13---Teens-13-or-older, 1, 7.30
35159, Finished Airing, Pony-Canyon, Estudio-nao-listado, Manga, Music, Romance, School, 6-min., PG-13---Teens-13-or-older, 1, 7.29
35180, Finished Airing, Aniplex, Aniplex, Manga, Drama, Game, Seinen, 25-min.-per-ep., PG-13---Teens-13-or-older, 22, 9.01
35183, Finished Airing, Kodansha, Studio-Deen, Manga, Comedy, Drama, Seinen, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.37
35220, Finished Airing, TMS-Entertainment, Shin-Ei-Animation, Light-novel, Slice of Life, Mystery, Supernatural, 23-min.-per-ep., PG-13---Teens-13-or-older, 26, 7.19
35222, Finished Airing, Bandai-Visual, Bandai-Visual, Manga, Comedy, School, Shoujo, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.88
35228, Finished Airing, Kodansha, Nippon-Animation, Manga, Comedy, Historical, Romance, 1-hr.-45-min., PG-13---Teens-13-or-older, 1, 7.15
35230, Finished Airing, Kadokawa, Estudio-nao-listado, Manga, Comedy, Super Power, Shounen, 3-min.-per-ep., PG-13---Teens-13-or-older, 10, 5.97
35240, Finished Airing, Bandai-Visual, Bandai-Visual, Original, Action, Mystery, Historical, 25-min.-per-ep., R---17+-(violence-&amp;-profanity), 12, 7.70
35241, Finished Airing, Genco, Funimation, Manga, Slice of Life, Fantasy, Seinen, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 7.64
35247, Finished Airing, Aniplex, Aniplex, Light-novel, Mystery, Comedy, Supernatural, 22-min.-per-ep., R---17+-(violence-&amp;-profanity), 7, 8.93
35249, Finished Airing, Lantis, Estudio-nao-listado, Game, Comedy, Slice of Life, Sports, 23-min.-per-ep., PG-13---Teens-13-or-older, 13, 7.41
35250, Finished Airing, VAP, Funimation, Web-manga, Comedy, Fantasy, Psychological, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 5.84
35251, Finished Airing, TV-Asahi, Estudio-nao-listado, Game, Historical, Romance, Fantasy, 23-min.-per-ep., PG-13---Teens-13-or-older, 12, 6.15
35254, Finished Airing, Yomiuri-Telecasting, Tatsunoko-Production, Original, Adventure, Comedy, Historical, 23-min.-per-ep., PG-13---Teens-13-or-older, 24, 5.76
35263, Finished Airing, Space-Shower-Music, Estudio-nao-listado, Music, Drama, Fantasy, Music, 3-min., PG---Children, 1, 5.54
35267, Finished Airing, Pony-Canyon, Estudio-nao-listado, Manga, Action, Fantasy, Shounen, Unknown, PG-13---Teens-13-or-older, 3, 7.13
35285, Finished Airing, Aniplex, Aniplex, 4-koma-manga, Comedy, School, Seinen, 23-min., PG-13---Teens-13-or-older, 1, 6.95
35302, Finished Airing, NHK, Estudio-nao-listado, Web-manga, Historical, Parody, Kids, 9-min.-per-ep., G---All-Ages, 32, 6.37
